index_log, time_stamp, mode, thrust, roll, pitch, yaw, ae[0], ae[1], ae[2], ae[3], phi, theta, psi, sp, sq, sr, sax, say, saz, bat_volt, P, P1, P2, temperature, pressure,,,,
445,467447594,5,3263,0,0,0,252,435,563,380,1762,9913,4588,-97,23,-76,10572,1832,8452,595,0,16,2,0,0,,3772,,
446,467451465,5,3263,0,0,0,252,433,562,382,1753,9934,4588,-191,42,-94,10792,2100,9152,595,0,16,2,0,0,,3871,,
447,467455383,5,3263,0,0,0,252,432,563,383,1739,9958,4588,-285,102,-134,10880,1964,10060,595,0,16,2,0,0,,3918,,
448,467459198,5,3263,0,0,0,250,430,564,385,1720,9987,4588,-373,206,-194,10936,1892,11168,595,0,16,2,0,0,,3815,,
449,467463061,5,3263,0,0,0,248,428,566,387,1699,10024,4588,-432,360,-269,11184,1804,11960,595,0,16,2,0,0,,3863,,
450,467466939,5,3263,0,0,0,245,427,569,388,1676,10069,4588,-454,521,-339,11272,1616,12708,595,0,16,2,0,0,,3878,,
451,467470803,5,3263,0,0,0,242,426,573,389,1652,10120,4588,-439,667,-394,11392,1348,13116,595,0,16,2,0,0,,3864,,
452,467474666,5,3263,0,0,0,239,426,576,389,1628,10178,4588,-401,807,-409,11524,1200,13100,595,0,16,2,0,0,,3863,,
453,467478529,5,3263,0,0,0,236,426,579,389,1611,10241,4588,-338,924,-388,11640,1696,13208,595,0,16,2,0,0,,3863,,
454,467482398,5,3263,0,0,0,233,427,582,388,1602,10307,4588,-273,1010,-335,11532,2324,13024,595,0,16,2,0,0,,3869,,
455,467486313,5,3263,0,0,0,231,428,584,387,1599,10374,4588,-190,1041,-269,11588,2808,12572,595,0,16,2,0,0,,3915,,
456,467490136,5,3263,0,0,0,229,429,586,386,1602,10438,4588,-99,1004,-209,11448,3052,12376,595,0,16,2,0,0,,3823,,
457,467494020,5,3263,0,0,0,229,431,586,384,1611,10496,4588,-6,922,-147,11268,3204,12228,595,0,16,2,0,0,,3884,,
458,467497880,5,3263,0,0,0,229,432,586,383,1623,10548,4588,79,827,-106,11040,3164,12120,595,0,16,2,0,0,,3860,,
459,467501739,5,3263,0,0,0,230,434,585,381,1638,10593,4588,166,733,-85,10768,3052,11908,595,0,16,2,0,0,,3859,,
460,467505608,5,3263,0,0,0,231,435,584,379,1655,10633,4588,242,645,-80,10652,2876,11512,595,0,16,2,0,0,,3869,,
461,467509480,5,3263,0,0,0,231,437,583,378,1673,10669,4588,304,569,-93,10512,2640,11124,595,0,16,2,0,0,,3872,,
462,467513363,5,3263,0,0,0,232,438,583,377,1691,10702,4588,353,500,-108,10604,2416,10540,595,0,16,2,0,0,,3883,,
463,467517252,5,3263,0,0,0,233,439,582,376,1706,10733,4588,380,429,-116,10720,1996,9908,595,0,16,2,0,0,,3889,,
464,467521080,5,3263,0,0,0,233,440,581,375,1720,10760,4588,403,340,-108,10728,1716,9116,595,0,16,2,0,0,,3828,,
465,467524954,5,3263,0,0,0,234,440,581,374,1733,10783,4588,397,254,-90,10816,1592,8648,595,0,16,2,0,0,,3874,,
466,467528810,5,3263,0,0,0,235,440,579,374,1743,10806,4588,359,188,-68,11028,1444,7924,595,0,16,2,0,0,,3856,,
467,467532676,5,3263,0,0,0,236,440,579,375,1749,10827,4588,299,137,-41,11248,1384,7416,595,0,16,2,0,0,,3866,,
468,467536546,5,3263,0,0,0,236,439,578,376,1751,10848,4588,228,80,-9,11448,1252,7316,595,0,16,2,0,0,,3870,,
469,467540417,5,3263,0,0,0,237,438,578,377,1748,10867,4588,138,13,16,11676,1136,7140,595,0,16,2,0,0,,3871,,
470,467544329,5,3263,0,0,0,238,437,577,378,1742,10886,4588,31,-33,42,11888,1260,7248,595,0,16,2,0,0,,3912,,
471,467548195,5,3263,0,0,0,238,435,577,380,1734,10905,4588,-82,-33,61,11908,1636,7616,595,0,16,2,0,0,,3866,,
472,467552023,5,3263,0,0,0,238,433,577,382,1723,10924,4588,-187,-15,66,11792,1792,8060,595,0,16,2,0,0,,3828,,
473,467555907,5,3263,0,0,0,237,431,578,384,1708,10943,4588,-262,6,66,11684,1680,8512,595,0,16,2,0,0,,3884,,
474,467559769,5,3263,0,0,0,237,430,578,385,1692,10960,4588,-311,14,57,11516,1832,9180,595,0,16,2,0,0,,3862,,
475,467563619,5,3263,0,0,0,236,429,579,386,1678,10977,4588,-347,23,53,11444,2152,9656,595,0,16,2,0,0,,3850,,
476,467567487,5,3263,0,0,0,236,428,579,387,1665,10995,4588,-372,50,34,11396,2552,10304,595,0,16,2,0,0,,3868,,
477,467571356,5,3263,0,0,0,235,427,580,387,1654,11015,4588,-389,102,14,11432,2800,10804,595,0,16,2,0,0,,3869,,
478,467575221,5,3263,0,0,0,234,427,581,388,1645,11038,4588,-387,161,-15,11548,3008,11496,595,0,16,2,0,0,,3865,,
479,467579144,5,3263,0,0,0,233,427,582,388,1636,11064,4588,-349,209,-43,11536,2860,12244,595,0,16,2,0,0,,3923,,
480,467582968,5,3263,0,0,0,231,427,583,387,1628,11091,4588,-277,248,-61,11548,2504,12460,595,0,16,2,0,0,,3824,,
481,467586841,5,3263,0,0,0,230,428,584,387,1623,11119,4588,-183,286,-74,11512,2328,12580,595,0,16,2,0,0,,3873,,
482,467590693,5,3263,0,0,0,230,430,585,385,1619,11148,4588,-85,335,-70,11448,1964,12516,595,0,16,2,0,0,,3852,,
483,467594618,5,3263,0,0,0,228,431,586,384,1617,11178,4588,9,394,-56,11212,1808,12068,595,0,16,2,0,0,,3925,,
484,467598427,5,3263,0,0,0,227,433,588,382,1618,11211,4588,89,453,-36,11300,1748,11308,595,0,16,2,0,0,,3809,,
485,467602306,5,3263,0,0,0,225,434,589,381,1624,11245,4588,144,487,-6,11276,1952,10644,595,0,16,2,0,0,,3879,,
486,467606161,5,3263,0,0,0,224,435,590,380,1631,11278,4588,180,479,27,11288,1956,9908,595,0,16,2,0,0,,3855,,
487,467610081,5,3263,0,0,0,224,435,591,379,1639,11309,4588,195,438,55,11312,2076,9372,595,0,16,2,0,0,,3920,,
488,467613899,5,3263,0,0,0,224,436,591,379,1647,11336,4588,198,376,74,11036,2032,9004,595,0,16,2,0,0,,3818,,
489,467617778,5,3263,0,0,0,225,436,590,379,1654,11357,4588,194,314,88,10772,1884,8684,595,0,16,2,0,0,,3879,,
490,467621639,5,3263,0,0,0,225,436,589,379,1658,11373,4588,179,262,89,10396,1700,8272,595,0,16,2,0,0,,3861,,
491,467625503,5,3263,0,0,0,226,436,589,379,1660,11386,4588,150,220,73,10232,1524,7828,595,0,16,2,0,0,,3864,,
492,467629380,5,3263,0,0,0,226,435,588,379,1659,11397,4588,107,178,50,10184,1424,7500,595,0,16,2,0,0,,3877,,
493,467633235,5,3263,0,0,0,227,435,588,380,1657,11407,4588,48,123,31,10376,1508,7068,595,0,16,2,0,0,,3855,,
494,467637108,5,3263,0,0,0,228,434,587,381,1653,11416,4588,-21,46,16,10720,1624,7008,595,0,16,2,0,0,,3873,,
495,467641015,5,3263,0,0,0,229,433,586,382,1646,11424,4588,-100,-36,13,10988,1836,7192,595,0,16,2,0,0,,3907,,
496,467644842,5,3263,0,0,0,230,431,585,384,1640,11432,4588,-192,-105,8,11404,2360,7316,595,0,16,2,0,0,,3827,,
497,467648706,5,3263,0,0,0,231,430,584,385,1630,11439,4588,-284,-146,4,11600,2452,7876,595,0,16,2,0,0,,3864,,
498,467652583,5,3263,0,0,0,231,428,583,387,1618,11446,4588,-352,-169,-2,11728,2536,8712,595,0,16,2,0,0,,3877,,
499,467656440,5,3263,0,0,0,231,427,583,388,1604,11454,4588,-408,-166,-17,11884,2540,9532,595,0,16,2,0,0,,3857,,
500,467660331,5,3263,0,0,0,231,426,583,389,1589,11464,4588,-437,-120,-33,11836,2544,10448,595,0,16,2,0,0,,3891,,
501,467664174,5,3263,0,0,0,230,425,584,390,1575,11479,4588,-423,-60,-55,12084,2536,11136,595,0,16,2,0,0,,3843,,
502,467668049,5,3263,0,0,0,229,425,586,390,1561,11494,4588,-382,-1,-66,11888,2268,11620,595,0,16,2,0,0,,3875,,
503,467671970,5,3263,0,0,0,228,426,587,389,1549,11511,4588,-316,45,-72,11852,2172,11752,595,0,16,2,0,0,,3921,,
504,467675776,5,3263,0,0,0,227,426,588,388,1540,11530,4588,-241,86,-57,11872,2236,11700,595,0,16,2,0,0,,3806,,
505,467679663,5,3263,0,0,0,226,427,589,387,1537,11549,4588,-173,113,-38,11808,2504,11628,595,0,16,2,0,0,,3887,,
506,467683512,5,3263,0,0,0,225,429,589,386,1539,11568,4588,-101,123,-17,11656,2772,11456,595,0,16,2,0,0,,3849,,
507,467687387,5,3263,0,0,0,225,430,590,385,1544,11586,4588,-30,104,3,11676,2856,11264,595,0,16,2,0,0,,3875,,
508,467691244,5,3263,0,0,0,225,431,590,384,1552,11600,4588,33,63,13,11420,2840,11164,595,0,16,2,0,0,,3857,,
509,467695116,5,3263,0,0,0,225,432,589,383,1561,11611,4588,99,30,17,11232,2540,11040,595,0,16,2,0,0,,3872,,
510,467698984,5,3263,0,0,0,226,433,589,382,1569,11619,4588,160,19,17,11016,2268,10760,595,0,16,2,0,0,,3868,,
511,467702902,5,3263,0,0,0,226,434,589,380,1577,11627,4588,202,35,15,10796,1932,10356,595,0,16,2,0,0,,3918,,
512,467706724,5,3263,0,0,0,225,435,589,380,1584,11636,4588,224,60,9,10892,1756,9756,595,0,16,2,0,0,,3822,,
513,467710585,5,3263,0,0,0,225,436,590,379,1590,11646,4588,227,73,7,10876,1548,9572,595,0,16,2,0,0,,3861,,
514,467714469,5,3263,0,0,0,225,436,590,379,1594,11658,4588,212,98,12,10996,1344,8892,595,0,16,2,0,0,,3884,,
515,467718326,5,3263,0,0,0,224,435,591,379,1596,11671,4588,168,127,20,11068,1312,8536,595,0,16,2,0,0,,3857,,
516,467722202,5,3263,0,0,0,223,435,591,380,1597,11686,4588,109,157,38,11216,1640,7960,595,0,16,2,0,0,,3876,,
517,467726055,5,3263,0,0,0,223,434,592,381,1595,11703,4588,39,177,48,11252,1612,7944,595,0,16,2,0,0,,3853,,
518,467729931,5,3263,0,0,0,222,433,593,382,1592,11721,4588,-20,169,51,11464,1704,8060,595,0,16,2,0,0,,3876,,
519,467733832,5,3263,0,0,0,222,432,593,383,1585,11738,4588,-75,120,45,11596,1600,8056,595,0,16,2,0,0,,3901,,
520,467737651,5,3263,0,0,0,222,431,592,384,1577,11752,4588,-132,64,43,11588,1648,8108,595,0,16,2,0,0,,3819,,
521,467741523,5,3263,0,0,0,223,430,592,385,1567,11764,4588,-194,41,32,11492,1816,8376,595,0,16,2,0,0,,3872,,
522,467745423,5,3263,0,0,0,223,428,592,386,1558,11779,4588,-264,63,15,11752,2304,8864,595,0,16,2,0,0,,3900,,
523,467749253,5,3263,0,0,0,223,427,592,387,1548,11797,4588,-313,94,-10,11896,2420,9316,595,0,16,2,0,0,,3830,,
524,467753130,5,3263,0,0,0,222,426,593,388,1536,11816,4588,-337,114,-33,12092,2316,10156,595,0,16,2,0,0,,3877,,
525,467757009,5,3263,0,0,0,221,426,594,389,1524,11836,4588,-325,122,-50,12108,2272,10584,595,0,16,2,0,0,,3879,,
526,467760864,5,3263,0,0,0,221,426,594,389,1513,11858,4588,-286,133,-61,12332,2100,10896,595,0,16,2,0,0,,3855,,
527,467764827,5,3263,0,0,0,220,426,595,388,1505,11881,4588,-238,142,-58,12316,2224,11144,595,0,16,2,0,0,,3963,,
528,467768590,5,3263,0,0,0,220,427,595,388,1500,11903,4588,-179,147,-43,12276,2256,11168,595,0,16,2,0,0,,3763,,
529,467772464,5,3263,0,0,0,219,428,595,387,1497,11925,4588,-115,145,-22,12344,2172,11112,595,0,16,2,0,0,,3874,,
530,467776327,5,3263,0,0,0,219,429,596,386,1496,11947,4588,-55,141,2,12288,2156,10960,595,0,16,2,0,0,,3863,,
531,467780198,5,3263,0,0,0,219,430,596,385,1498,11966,4588,1,134,26,12116,2112,10892,595,0,16,2,0,0,,3871,,
532,467784061,5,3263,0,0,0,219,431,596,384,1500,11985,4588,40,130,47,12044,2048,10616,595,0,16,2,0,0,,3863,,
533,467787939,5,3263,0,0,0,218,431,597,384,1503,12001,4588,79,134,68,11776,1940,10596,595,0,16,2,0,0,,3878,,
534,467791807,5,3263,0,0,0,218,432,597,383,1507,12014,4588,113,138,88,11388,1876,10252,595,0,16,2,0,0,,3868,,
535,467795748,5,3263,0,0,0,218,433,597,382,1512,12026,4588,139,146,94,11176,1756,9928,595,0,16,2,0,0,,3941,,
536,467799539,5,3263,0,0,0,217,433,597,382,1516,12036,4588,160,143,104,10836,1624,9700,595,0,16,2,0,0,,3791,,
537,467803400,5,3263,0,0,0,217,433,597,381,1521,12045,4588,171,147,105,10804,1668,9504,595,0,16,2,0,0,,3861,,
538,467807321,5,3263,0,0,0,217,434,598,381,1527,12055,4588,167,142,97,10844,1828,8920,595,0,16,2,0,0,,3921,,
539,467811131,5,3263,0,0,0,217,434,598,381,1532,12063,4588,157,117,92,10776,1832,8712,595,0,16,2,0,0,,3810,,
540,467815001,5,3263,0,0,0,217,433,597,381,1536,12069,4588,135,78,78,10772,1764,8468,595,0,16,2,0,0,,3870,,
541,467818865,5,3263,0,0,0,218,433,597,381,1538,12074,4588,112,44,71,10952,1704,8040,595,0,16,2,0,0,,3864,,
542,467822735,5,3263,0,0,0,218,433,596,382,1538,12079,4588,79,12,56,10996,1484,8152,595,0,16,2,0,0,,3870,,
543,467826655,5,3263,0,0,0,219,432,596,382,1536,12083,4588,47,-18,45,11028,1464,8104,595,0,16,2,0,0,,3920,,
544,467830468,5,3263,0,0,0,219,432,596,383,1532,12088,4588,16,-36,32,11320,1360,8184,595,0,16,2,0,0,,3813,,
545,467834340,5,3263,0,0,0,219,431,595,383,1526,12093,4588,-23,-45,24,11372,1312,8156,595,0,16,2,0,0,,3872,,
546,467838210,5,3263,0,0,0,219,431,595,384,1518,12099,4588,-62,-36,18,11404,1268,8332,595,0,16,2,0,0,,3870,,
547,467842072,5,3263,0,0,0,219,430,596,385,1509,12106,4588,-107,-26,10,11648,1416,8368,595,0,16,2,0,0,,3862,,
548,467845972,5,3263,0,0,0,219,429,596,386,1501,12115,4588,-134,-7,10,11740,1592,8744,595,0,16,2,0,0,,3900,,
549,467849811,5,3263,0,0,0,218,428,596,386,1492,12125,4588,-159,-7,13,11808,1680,8868,595,0,16,2,0,0,,3839,,
550,467853675,5,3263,0,0,0,218,428,596,387,1482,12134,4588,-169,-11,14,11752,1660,9120,595,0,16,2,0,0,,3864,,
551,467857590,5,3263,0,0,0,218,428,597,387,1473,12142,4588,-174,-20,23,11636,1724,9268,595,0,16,2,0,0,,3915,,
552,467861407,5,3263,0,0,0,218,428,596,387,1465,12150,4588,-176,-24,20,11696,1812,9280,595,0,16,2,0,0,,3817,,
553,467865276,5,3263,0,0,0,218,427,597,387,1457,12157,4588,-175,-21,25,11492,1784,9584,595,0,16,2,0,0,,3869,,
554,467869159,5,3263,0,0,0,218,427,597,387,1448,12162,4588,-166,-24,23,11420,1752,9656,595,0,16,2,0,0,,3883,,
555,467873014,5,3263,0,0,0,218,427,597,388,1443,12166,4588,-161,-13,23,11148,2056,9972,595,0,16,2,0,0,,3855,,
556,467876890,5,3263,0,0,0,218,427,597,388,1439,12169,4588,-149,3,20,10916,2204,10088,595,0,16,2,0,0,,3876,,
557,467880745,5,3263,0,0,0,217,427,597,388,1437,12173,4588,-126,12,13,11012,2300,10372,595,0,16,2,0,0,,3855,,
558,467884620,5,3263,0,0,0,217,428,597,387,1437,12177,4588,-99,12,4,11080,2484,10632,595,0,16,2,0,0,,3875,,
559,467888526,5,3263,0,0,0,217,428,598,387,1440,12182,4588,-63,7,-3,11148,2628,10664,595,0,16,2,0,0,,3906,,
560,467892350,5,3263,0,0,0,217,429,598,386,1445,12186,4588,-23,-5,-11,11152,2620,10568,595,0,16,2,0,0,,3824,,
561,467896233,5,3263,0,0,0,217,429,597,385,1451,12191,4588,21,-18,-23,11272,2592,10700,595,0,16,2,0,0,,3883,,
562,467900091,5,3263,0,0,0,218,430,597,385,1457,12196,4588,52,-24,-23,11384,2396,10444,595,0,16,2,0,0,,3858,,
563,467903946,5,3263,0,0,0,217,431,597,384,1462,12201,4588,69,-31,-20,11392,2280,10188,595,0,16,2,0,0,,3855,,
564,467907814,5,3263,0,0,0,217,431,597,384,1469,12209,4588,69,-23,-21,11632,2468,10028,595,0,16,2,0,0,,3868,,
565,467911743,5,3263,0,0,0,217,431,598,384,1475,12218,4588,63,-8,-17,11804,2316,9868,595,0,16,2,0,0,,3929,,
566,467915554,5,3263,0,0,0,217,431,598,384,1482,12228,4588,49,-10,-19,12016,2468,9812,595,0,16,2,0,0,,3811,,
567,467919473,5,3263,0,0,0,217,431,598,384,1487,12239,4588,35,-8,-18,12120,2436,9740,595,0,16,2,0,0,,3919,,
568,467923282,5,3263,0,0,0,217,431,598,384,1491,12250,4588,25,-15,-14,12064,2316,9680,595,0,16,2,0,0,,3809,,
569,467927152,5,3263,0,0,0,216,431,598,384,1493,12262,4588,15,-23,-9,12196,2140,9556,595,0,16,2,0,0,,3870,,
570,467931022,5,3263,0,0,0,216,431,598,384,1496,12271,4588,1,-30,-1,12044,2216,9644,595,0,16,2,0,0,,3870,,
571,467934892,5,3263,0,0,0,216,431,598,384,1496,12279,4588,-12,-33,10,11904,2060,9376,595,0,16,2,0,0,,3870,,
572,467938759,5,3263,0,0,0,216,430,598,384,1496,12287,4588,-28,-43,24,11876,2120,9252,595,0,16,2,0,0,,3867,,
573,467942624,5,3263,0,0,0,216,430,598,385,1496,12291,4588,-46,-48,24,11564,2160,9268,595,0,16,2,0,0,,3865,,
574,467946496,5,3263,0,0,0,216,430,599,385,1496,12295,4588,-55,-61,30,11500,2316,9368,595,0,16,2,0,0,,3872,,
575,467950409,5,3263,0,0,0,216,430,598,385,1496,12297,4588,-62,-80,25,11376,2212,9484,595,0,16,2,0,0,,3913,,
576,467954237,5,3263,0,0,0,217,430,598,385,1496,12296,4588,-60,-94,23,11184,2264,9724,595,0,16,2,0,0,,3828,,
577,467958100,5,3263,0,0,0,217,430,598,385,1497,12293,4588,-51,-116,19,10980,2328,9604,595,0,16,2,0,0,,3863,,
578,467961979,5,3263,0,0,0,217,430,597,385,1498,12289,4588,-33,-145,10,11060,2268,9536,595,0,16,2,0,0,,3879,,
579,467965835,5,3263,0,0,0,218,430,597,385,1500,12284,4588,-4,-202,-2,11192,2288,9836,595,0,16,2,0,0,,3856,,
580,467969708,5,3263,0,0,0,219,430,596,384,1504,12276,4588,25,-270,-11,11172,2276,9608,595,0,16,2,0,0,,3873,,
581,467973569,5,3263,0,0,0,220,431,595,384,1508,12265,4588,38,-348,-17,11296,2280,9608,595,0,16,2,0,0,,3861,,
582,467977433,5,3263,0,0,0,221,431,593,383,1513,12251,4588,63,-450,-24,11416,2244,9632,595,0,16,2,0,0,,3864,,
583,467981348,5,3263,0,0,0,223,432,591,383,1518,12232,4588,87,-609,-29,11604,2104,9288,595,0,16,2,0,0,,3915,,
584,467985171,5,3263,0,0,0,226,432,589,383,1524,12207,4588,118,-807,-45,11804,2028,9348,595,0,16,2,0,0,,3823,,
585,467989036,5,3263,0,0,0,230,433,585,382,1530,12173,4588,137,-1001,-60,11832,2040,9252,595,0,16,2,0,0,,3865,,
586,467992909,5,3263,0,0,0,233,433,582,382,1536,12132,4588,127,-1148,-63,11676,2060,9168,595,0,16,2,0,0,,3873,,
587,467996832,5,3263,0,0,0,236,433,579,382,1541,12087,4588,102,-1223,-73,11436,2056,9148,595,0,16,2,0,0,,3923,,
588,468000648,5,3263,0,0,0,238,433,577,382,1544,12041,4588,59,-1256,-79,11520,2016,9324,595,0,16,2,0,0,,3816,,
589,468004515,5,3263,0,0,0,239,432,576,383,1545,11996,4588,16,-1250,-92,11584,2064,9576,595,0,16,2,0,0,,3867,,
590,468008376,5,3263,0,0,0,240,432,575,383,1544,11952,4588,-11,-1242,-106,11560,1936,9956,595,0,16,2,0,0,,3861,,
591,468012296,5,3263,0,0,0,240,431,575,384,1541,11910,4588,-32,-1242,-117,11728,1760,10060,595,0,16,2,0,0,,3920,,
592,468016129,5,3263,0,0,0,241,431,574,384,1537,11868,4588,-46,-1253,-123,11844,1676,10080,595,0,16,2,0,0,,3833,,
593,468019978,5,3263,0,0,0,242,431,573,384,1532,11827,4588,-60,-1260,-117,11980,1604,10232,595,0,16,2,0,0,,3849,,
594,468023847,5,3263,0,0,0,242,430,572,385,1525,11786,4588,-72,-1268,-107,11952,1588,10212,595,0,16,2,0,0,,3869,,
595,468027716,5,3263,0,0,0,243,430,571,385,1518,11746,4588,-88,-1268,-82,11940,1548,10276,595,0,16,2,0,0,,3869,,
596,468031583,5,3263,0,0,0,244,429,571,385,1510,11705,4588,-94,-1264,-55,11780,1520,10392,595,0,16,2,0,0,,3867,,
597,468035459,5,3263,0,0,0,244,429,570,385,1504,11662,4588,-91,-1292,-27,11660,1612,10556,595,0,16,2,0,0,,3876,,
598,468039332,5,3263,0,0,0,246,429,569,385,1500,11614,4588,-62,-1387,-5,11516,1696,10772,595,0,16,2,0,0,,3873,,
599,468043226,5,3263,0,0,0,248,430,567,385,1497,11555,4588,-27,-1600,0,11252,1792,10808,595,0,16,2,0,0,,3894,,
600,468047078,5,3263,0,0,0,252,430,563,385,1498,11487,4588,17,-1814,-3,11216,1984,10564,595,0,16,2,0,0,,3852,,
601,468050918,5,3263,0,0,0,257,431,558,384,1501,11406,4588,63,-2104,-16,11024,2024,10592,595,0,16,2,0,0,,3840,,
602,468054792,5,3263,0,0,0,262,431,552,383,1507,11310,4588,103,-2393,-45,10708,2192,10424,595,0,16,2,0,0,,3874,,
603,468058660,5,3263,0,0,0,268,432,546,382,1515,11201,4588,121,-2645,-77,10280,2220,10292,595,0,16,2,0,0,,3868,,
604,468062531,5,3263,0,0,0,274,433,541,382,1522,11082,4588,114,-2836,-105,9924,2248,10044,595,0,16,2,0,0,,3871,,
605,468066387,5,3263,0,0,0,279,433,536,382,1527,10954,4588,85,-2964,-134,9408,2156,10220,595,0,16,2,0,0,,3856,,
606,468070259,5,3263,0,0,0,283,432,532,382,1529,10824,4588,37,-3025,-157,9288,2064,10312,595,0,16,2,0,0,,3872,,
607,468074175,5,3263,0,0,0,286,432,529,383,1528,10693,4588,-12,-3041,-175,9160,1852,10684,595,0,16,2,0,0,,3916,,
608,468077993,5,3263,0,0,0,288,431,527,384,1522,10565,4588,-73,-3016,-195,9244,1716,11308,595,0,16,2,0,0,,3818,,
609,468081871,5,3263,0,0,0,290,430,525,385,1517,10442,4588,-128,-2952,-207,9456,1976,11584,595,0,16,2,0,0,,3878,,
610,468085726,5,3263,0,0,0,291,429,524,386,1511,10325,4588,-191,-2857,-206,9520,2292,12028,595,0,16,2,0,0,,3855,,
611,468089605,5,3263,0,0,0,291,428,524,387,1503,10215,4588,-237,-2747,-196,9684,2212,12452,595,0,16,2,0,0,,3879,,
612,468093459,5,3263,0,0,0,291,427,524,388,1495,10109,4588,-276,-2660,-168,9632,2348,13104,595,0,16,2,0,0,,3854,,
613,468097342,5,3263,0,0,0,291,426,523,389,1484,10004,4588,-280,-2646,-159,9628,2132,13720,595,0,16,2,0,0,,3883,,
614,468101239,5,3263,0,0,0,293,426,522,389,1474,9897,4588,-241,-2730,-161,9688,1964,14076,595,0,16,2,0,0,,3897,,
615,468105110,5,3263,0,0,0,296,426,519,388,1468,9783,4588,-185,-2877,-166,9508,2052,14132,595,0,16,2,0,0,,3871,,
616,468108933,5,3263,0,0,0,300,427,515,388,1463,9663,4588,-131,-2979,-170,9084,2032,14116,595,0,16,2,0,0,,3823,,
617,468112798,5,3263,0,0,0,303,428,511,387,1461,9537,4588,-95,-3045,-162,8612,2228,13996,595,0,16,2,0,0,,3865,,
618,468116665,5,3263,0,0,0,306,429,509,386,1464,9407,4588,-63,-3051,-146,7976,2572,13748,595,0,16,2,0,0,,3867,,
619,468120542,5,3263,0,0,0,308,429,506,386,1469,9275,4588,-36,-3000,-127,7336,2700,13804,595,0,16,2,0,0,,3877,,
620,468124415,5,3263,0,0,0,310,429,505,385,1472,9141,4588,-21,-2932,-97,6572,2408,13468,595,0,16,2,0,0,,3873,,
621,468128267,5,3263,0,0,0,311,430,504,385,1475,9006,4588,4,-2830,-66,5824,2280,13508,595,0,16,2,0,0,,3852,,
622,468132158,5,3263,0,0,0,311,430,504,384,1478,8873,4588,29,-2721,-49,5304,2144,13380,595,0,16,2,0,0,,3891,,
623,468136053,5,3263,0,0,0,312,431,503,384,1481,8745,4588,61,-2586,-40,5016,2044,13132,595,0,16,2,0,0,,3895,,
624,468139881,5,3263,0,0,0,311,431,503,384,1484,8622,4588,80,-2452,-50,4772,1900,12904,595,0,16,2,0,0,,3828,,
625,468143922,5,3263,0,0,0,311,432,503,383,1487,8504,4588,100,-2345,-65,4784,1700,12604,595,0,16,2,0,0,,4041,,
626,468147607,5,3263,0,0,0,311,432,503,383,1491,8391,4588,116,-2251,-81,4784,1732,12564,595,0,16,2,0,0,,3685,,
627,468151473,5,3263,0,0,0,312,432,503,382,1495,8284,4588,117,-2175,-94,5004,1696,12276,595,0,16,2,0,0,,3866,,
628,468155342,5,3263,0,0,0,312,432,503,382,1499,8181,4588,101,-2115,-109,5092,1880,12016,595,0,16,2,0,0,,3869,,
629,468159216,5,3263,0,0,0,313,432,502,383,1502,8082,4588,70,-2078,-115,5320,1824,12080,595,0,16,2,0,0,,3874,,
630,468163078,5,3263,0,0,0,314,432,501,383,1501,7986,4588,23,-2052,-123,5488,1708,12020,595,0,16,2,0,0,,3862,,
631,468167012,5,3263,0,0,0,315,431,500,384,1498,7895,4588,-40,-2013,-137,5664,1724,12276,595,0,16,2,0,0,,3934,,
632,468170823,5,3263,0,0,0,316,430,499,385,1492,7806,4588,-99,-1986,-150,5820,1732,12648,595,0,16,2,0,0,,3811,,
633,468174688,5,3263,0,0,0,317,429,498,386,1482,7720,4588,-144,-2017,-170,6260,1528,12964,595,0,16,2,0,0,,3865,,
634,468178551,5,3263,0,0,0,319,428,496,387,1470,7631,4588,-157,-2129,-191,6512,1260,13504,595,0,16,2,0,0,,3863,,
635,468182419,5,3263,0,0,0,322,428,493,387,1459,7537,4588,-158,-2283,-194,6532,1296,13744,595,0,16,2,0,0,,3868,,
636,468186284,5,3263,0,0,0,325,428,489,387,1450,7438,4588,-161,-2409,-184,6520,1608,13824,595,0,16,2,0,0,,3865,,
637,468190153,5,3263,0,0,0,329,427,486,388,1442,7334,4588,-174,-2479,-159,6200,1764,13948,595,0,16,2,0,0,,3869,,
638,468194028,5,3263,0,0,0,332,427,483,388,1434,7229,4588,-191,-2492,-126,5940,1920,13876,595,0,16,2,0,0,,3875,,
639,468197936,5,3263,0,0,0,334,427,481,388,1423,7123,4588,-212,-2461,-94,5600,1720,14516,595,0,16,2,0,0,,3908,,
640,468201771,5,3263,0,0,0,335,426,480,389,1411,7017,4588,-229,-2429,-71,5232,1560,14664,595,0,16,2,0,0,,3835,,
641,468205659,5,3263,0,0,0,336,426,479,389,1397,6911,4588,-229,-2409,-66,5064,1272,14652,595,0,16,2,0,0,,3888,,
642,468209497,5,3263,0,0,0,337,425,477,389,1380,6804,4588,-214,-2421,-69,4928,928,14872,595,0,16,2,0,0,,3838,,
643,468213358,5,3263,0,0,0,339,425,476,389,1363,6693,4588,-186,-2448,-73,4460,688,14592,595,0,16,2,0,0,,3861,,
644,468217223,5,3263,0,0,0,341,426,474,389,1347,6580,4588,-162,-2465,-62,4096,744,14416,595,0,16,2,0,0,,3865,,
645,468221092,5,3263,0,0,0,343,426,471,389,1335,6465,4588,-145,-2454,-33,3820,1044,14000,595,0,16,2,0,0,,3869,,
